subplot,veg_plot,quadrant,species,base_D,height_2021,collection_date,quadrant_fern_tally,,,,,,,,,
A01W,NW,NW,ACRU,1.5,15.8,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.45,13.1,7/22/21,,,,,,,,,,ACPE
A01W,NW,NW,ACRU,1.7,16.6,7/22/21,,,,,,,,,,ACSA
A01W,NW,NW,ACRU,2.5,11.1,7/22/21,,,,,,,,,,ACRU
A01W,NW,NW,ACRU,1.45,12,7/22/21,,,,,,,,,,POGR
A01W,NW,NW,ACRU,2.4,12.8,7/22/21,,,,,,,,,,POTR
A01W,NW,NW,ACRU,2.35,12.2,7/22/21,,,,,,,,,,FAGR
A01W,NW,NW,ACRU,2.55,14.9,7/22/21,,,,,,,,,,ACER
A01W,NW,NW,ACPE,2.35,13.2,7/22/21,,,,,,,,,,QURU
A01W,NW,NW,ACRU,1.5,23.6,7/22/21,,,,,,,,,,AMEL
A01W,NW,NW,ACRU,1.9,15.1,7/22/21,,,,,,,,,,PIST
A01W,NW,NW,ACRU,1.8,12.1,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.45,8.6,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.25,10.9,7/22/21,,,,,,,,,,
A01W,NW,NW,ACPE,16.2,206.6,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.85,16.6,7/22/21,,,,,,,,,,
A01W,NW,NW,FAGR,7,82.1,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.6,13.3,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.75,14,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.9,16.3,7/22/21,,,,,,,,,,
A01W,NW,NW,ACPE,1.2,7.4,7/22/21,,,,,,,,,,
A01W,NW,NW,ACPE,3.85,17.2,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.85,15.2,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.6,15,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,2.15,13.6,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.4,11.9,7/22/21,,,,,,,,,,
A01W,NW,NW,ACPE,2.8,13.5,7/22/21,,,,,,,,,,
A01W,NW,NW,ACPE,2.65,19.3,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.45,12.8,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,3.1,13.1,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,3.35,18.6,7/22/21,,,,,,,,,,
A01W,NW,NW,ACRU,1.55,13,7/22/21,,,,,,,,,,
A01W,NW,NW,FAGR,5.5,48,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,0.9,8.8,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.9,9.8,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,3,15.4,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,3.5,22.1,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,2.25,13,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.4,12,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,6.35,69.6,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,2.15,9.4,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,8.2,73.6,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,6.9,80.6,7/22/21,,,,,,,,,,
A01W,SW,SE,FAGR,5.9,49.5,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.35,7.4,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.15,7.7,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.5,7.2,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,6.6,52,7/22/21,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
A01W,SW,SE,ACRU,2.65,17.5,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.3,9.9,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.35,11.3,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.45,14.5,7/22/21,,,,,,,,,,
A01W,SW,SE,ACSA,2.3,12,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,1.2,12.4,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.4,7.9,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.5,7.4,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.7,10.6,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,1.65,14.1,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,2.3,15.7,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.9,16,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,7,87,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.4,12.6,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.35,13.3,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,3.9,41.7,7/22/21,,,,,,,,,,
A01W,SW,SE,ACPE,2,11,7/22/21,,,,,,,,,,
A01W,SW,SE,ACRU,1.5,8,7/22/21,,,,,,,,,,
A01W,SW,SE,FAGR,9.6,99.4,7/22/21,,,,,,,,,,
A01W,SE,SE,ACSA,2.5,14.1,7/22/21,,,,,,,,,,
A01W,SE,SE,ACRU,3,12.8,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,1.65,7.5,7/22/21,,,,,,,,,,
A01W,SE,SE,ACRU,1.4,10.4,7/22/21,,,,,,,,,,
A01W,SE,SE,ACRU,2.85,8,7/22/21,,,,,,,,,,
A01W,SE,SE,ACRU,1.85,11.6,7/22/21,,,,,,,,,,
A01W,SE,SE,ACRU,1.25,9.5,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,1.55,7.9,7/22/21,,,,,,,,,,
A01W,SE,SE,ACSA,2,12.4,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,1.65,8.5,7/22/21,,,,,,,,,,
A01W,SE,SE,AMEL,2,9.9,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,1.55,8.3,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,1.35,8.8,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,1.3,11.3,7/22/21,,,,,,,,,,
A01W,SE,SE,ACRU,2.35,12.4,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,2.65,13.3,7/22/21,,,,,,,,,,
A01W,SE,SE,ACRU,1.25,11.9,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,1.7,13.1,7/22/21,,,,,,,,,,
A01W,SE,SE,ACRU,1.65,15.2,7/22/21,,,,,,,,,,
A04E,SW,NW,ACPE,7.3,47,7/23/21,,,,,,,,,,
