uniqueID,quadrat,species,tag,DBH_mm,date,
A01E2,NE,ACPE,2784,17.85,2021-06-22,
A01E2,NE,ACPE,4021,20.2,2021-06-22,
A01E4,SE,FAGR,4023,65.05,2021-06-22,
A01E4,SE,FAGR,4024,60.65,2021-06-22,
A01E6,SW,ACPE,2835,23.55,2021-06-22,
A01E6,SW,ACPE,2839,16.75,2021-06-22,
A01E6,SW,ACPE,2836,19.9,2021-06-22,
A01E6,SW,ACPE,2838,41.35,2021-06-22,
A01E6,SW,ACPE,2837,32.15,2021-06-22,
A01E8,NW,ACPE,4028,69.75,2021-06-22,
A01E8,NW,ACPE,4029,19.35,2021-06-22,
A01W2,NE,FAGR,2881,19.45,2021-06-22,
A01W2,NE,FAGR,2880,26.45,2021-06-22,
A01W4,SE,ACSA,4031,75,2021-06-22,
A01W4,SE,FAGR,2907,21.2,2021-06-22,
A01W6,SW,FAGR,2934,45.25,2021-06-22,
A01W6,SW,ACPE,4034,52.1,2021-06-22,
A01W8,NW,ACPE,4038,23.75,2021-06-22,
A01W8,NW,ACPE,4039,30.45,2021-06-22,
A02E2,NE,ACPE,3092,42.15,2021-06-22,
A02E2,NE,FAGR,3089,12.05,2021-06-22,
A02E2,NE,FAGR,3090,18.6,2021-06-22,
A02E2,NE,FAGR,3091,24.25,2021-06-22,
A02E2,NE,FAGR,3245,20.25,2021-06-22,
A02E4,SE,FAGR,3247,17.95,2021-06-22,
A02E4,SE,ACSA,3246,39.6,2021-06-22,
A02E6,SW,ACPE,3165,15.05,2021-06-22,
A02E6,SW,FAGR,3251,22.95,2021-06-22,
A02E8,NW,ACSA,3255,63.75,2021-06-22,
A02E8,NW,ACPE,3256,14.55,2021-06-22,
A02W2,NE,ACPE,3000,15.85,2021-06-22,
A02W2,NE,ACPE,3001,25.05,2021-06-22,
A02W4,SE,ACPE,4045,44.75,2021-06-22,
A02W4,SE,FAGR,4044,11.85,2021-06-22,
A02W6,SW,FAGR,4048,39.95,2021-06-22,
A02W6,SW,ACSA,4049,46,2021-06-22,
A02W8,NW,ACSA,4053,63.15,2021-06-22,
A02W8,NW,ACPE,4054,32.75,2021-06-22,
A03E2,NE,ACSA,3998,45.15,2021-06-22,
A03E2,NE,ACSA,3995,58.35,2021-06-22,
A03E4,SE,FAGR,4000,17.25,2021-06-22,
A03E4,SE,FAGR,4001,16.75,2021-06-22,
A03E6,SW,ACPE,4002,20.75,2021-06-22,
A03E6,SW,FAGR,4005,28.25,2021-06-22,
A03E8,NW,FAGR,2552,24.35,2021-06-22,
A03E8,NW,FAGR,2554,29.1,2021-06-22,
A03E8,NW,FAGR,2553,12.5,2021-06-22,
A03W2,NE,FAGR,2362,36,2021-06-22,
A03W2,NE,FAGR,4008,69.55,2021-06-22,
A03W4,SE,ACPE,2387,71.95,2021-06-22,
A03W4,SE,ACPE,2388,19.05,2021-06-22,
A03W6,SW,ACPE,2420,54.45,2021-06-22,
A03W6,SW,AMEL,4014,32.45,2021-06-22,
A03W8,NW,ACSA,4018,48.55,2021-06-22,
A03W8,NW,FAGR,4017,72.4,2021-06-22,
A04E2,NE,ACPE,2684,16.55,2021-06-22,
A04E2,NE,ACPE,4068,12.45,2021-06-22,
A04E4,SE,FAGR,4069,54.25,2021-06-22,
A04E4,SE,FAGR,4070,52.3,2021-06-22,
A04E6,SW,ACPE,2733,17.25,2021-06-22,
A04E6,SW,ACPE,4072,24.65,2021-06-22,
A04E8,NW,ACPE,4073,14.1,2021-06-22,
A04E8,NW,ACPE,4075,39.8,2021-06-22,
A04W2,NE,FAGR,4055,67.95,2021-06-22,
A04W2,NE,FAGR,4057,38.5,2021-06-22,
A04W4,SE,FAGR,4058,80,2021-06-22,
A04W4,SE,FAGR,4061,12,2021-06-22,
A04W6,SW,FAGR,4062,39.65,2021-06-22,
A04W6,SW,FAGR,2647,75.9,2021-06-22,
A04W8,NW,FAGR,4064,14.8,2021-06-22,
A04W8,NW,FAGR,4065,49.25,2021-06-22,
B01E2,NE,QURU,4131,41.91,2021-06-22,
B01E2,NE,FAGR,4100,45.2,2021-06-22,
B01E4,SE,FAGR,4128,19.5,2021-06-22,
B01E4,SE,FAGR,4139,32.25,2021-06-22,
B01E6,SW,ACPE,4129,20.65,2021-06-22,
B01E6,SW,ACPE,4130,22.3,2021-06-22,
B01E8,NW,ACPE,1742,31.7,2021-06-22,
B01E8,NW,FAGR,1741,26.95,2021-06-22,no tag?
B01W2,NE,QURU,1593,49.8,2021-06-22,
B01W2,NE,ACPE,4132,11.15,2021-06-22,
B01W4,SE,ACSA,1592,27.1,2021-06-22,
B01W4,SE,ACSA,1594,22.05,2021-06-22,
B01W4,SE,FAGR,1595,28.45,2021-06-22,
B01W4,SE,QURU,1591,79.05,2021-06-22,
B01W6,SW,FAGR,1631,37.5,2021-06-22,
B01W6,SW,FAGR,1629,15.95,2021-06-22,
B01W6,SW,FAGR,1628,21.95,2021-06-22,
B01W6,SW,FAGR,1627,13.95,2021-06-22,
B01W8,NW,FAGR,1647,14.05,2021-06-22,
B01W8,NW,FAGR,1649,11.65,2021-06-22,
B01W8,NW,QURU,4197,30.95,2021-06-22,
B02E2,NE,FAGR,4085,17.2,2021-06-22,
B02E2,NE,FAGR,4086,20.15,2021-06-22,
B02E4,SE,ACPE,1884,32.65,2021-06-22,
B02E4,SE,FAGR,4088,15.25,2021-06-22,
B02E6,SW,QURU,4133,45.1,2021-06-22,
B02E6,SW,AMEL,4134,60.65,2021-06-22,
B02E8,NW,FAGR,4093,18.35,2021-06-22,
B02E8,NW,ACSA,4135,42,2021-06-22,
B02W2,NE,FAGR,4136,21.35,2021-06-22,
B02W2,NE,FAGR,4137,23.2,2021-06-22,
B02W4,SE,QURU,1781,,2021-06-22,MIA
B02W4,SE,ACPE,1780,19.6,2021-06-22,
B02W6,SW,FAGR,4077,29.25,2021-06-22,
B02W6,SW,FAGR,4138,42.75,2021-06-22,
B02W8,NW,FAGR,4082,52.85,2021-06-22,
B02W8,NW,FAGR,4081,67.05,2021-06-22,
B03E2,NE,FAGR,3259,18,2021-06-22,
B03E2,NE,AMEL,3260,17.7,2021-06-22,
B03E4,SE,QURU,3264,61.35,2021-06-22,
B03E4,SE,FAGR,3263,20.95,2021-06-22,
